S/N,Journal ID,Journal Title,eISSN,Journal Imprint,Main Discipline,Publishing Model,OA License,URL
1080,11390,Journal of Computer Science and Technology,1860-4749,Springer,Computer Science,Springer Hybrid,CC BY,https://springer.com/11390
1081,11416,Journal of Computer Virology and Hacking Techniques,2263-8733,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/11416
1082,10822,Journal of Computer-Aided Molecular Design,1573-4951,Springer,Chemistry,Springer Hybrid,CC BY-NC-ND,https://springer.com/10822
1083,40692,Journal of Computers in Education,2197-9995,Springer,Education,Springer Hybrid,CC BY,https://springer.com/40692
1084,12528,Journal of Computing in Higher Education,1867-1233,Springer,Education,Springer Hybrid,CC BY-NC-ND,https://springer.com/12528
1085,10603,Journal of Consumer Policy,1573-0700,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10603
1086,3,Journal of Consumer Protection and Food Safety,1661-5867,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/3
1087,10879,Journal of Contemporary Psychotherapy,1573-3564,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/10879
1088,40313,"Journal of Control, Automation and Electrical Systems",2195-3899,Springer,Engineering,Springer Hybrid,CC BY,https://springer.com/40313
1089,10343,Journal of Crop Health,2948-2658,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10343
1090,12892,Journal of Crop Science and Biotechnology,2005-8276,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/12892
1091,10823,Journal of Cross-Cultural Gerontology,1573-0719,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10823
1092,13389,Journal of Cryptographic Engineering,2190-8516,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/13389
1093,145,Journal of Cryptology,1432-1378,Springer,Computer Science,Springer Hybrid,CC BY,https://springer.com/145
1094,41809,Journal of Cultural Cognitive Science,2520-1018,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/41809
1095,10824,Journal of Cultural Economics,1573-6997,Springer,Economics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10824
1096,42488,"Journal of Data, Information and Management",2524-6364,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/42488
1097,40865,Journal of Developmental and Life-Course Criminology,2199-465X,Springer,Criminology and Criminal Justice,Springer Hybrid,CC BY-NC-ND,https://springer.com/40865
1098,10882,Journal of Developmental and Physical Disabilities,1573-3580,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/10882
1099,42240,Journal of Dharma Studies,2522-0934,Springer,Religious Studies,Springer Hybrid,CC BY-NC-ND,https://springer.com/42240
1100,40200,Journal of Diabetes & Metabolic Disorders,2251-6581,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/40200
1101,40870,Journal of Dynamic Behavior of Materials,2199-7454,Springer,Materials Science,Springer Hybrid,CC BY,https://springer.com/40870
1102,10883,Journal of Dynamical and Control Systems,1573-8698,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10883
1103,10884,Journal of Dynamics and Differential Equations,1572-9222,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10884
1104,12583,Journal of Earth Science,1867-111X,"China University of Geosciences, co-published with Springer",Earth Sciences,Springer Hybrid,CC BY,https://springer.com/12583
1105,10831,Journal of East Asian Linguistics,1572-8560,Springer,Linguistics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10831
1106,12574,Journal of Echocardiography,1880-344X,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/12574
1107,10887,Journal of Economic Growth,1573-7020,Springer,Economics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10887
1108,11403,Journal of Economic Interaction and Coordination,1860-7128,Springer,Economics,Springer Hybrid,CC BY-NC-ND,https://springer.com/11403
1109,712,Journal of Economics,1617-7134,Springer,Economics,Springer Hybrid,CC BY-NC-ND,https://springer.com/712
1110,12197,Journal of Economics and Finance,1938-9744,Springer,Economics,Springer Hybrid,CC BY,https://springer.com/12197
1111,41996,"Journal of Economics, Race, and Policy",2520-842X,Springer,Economics,Springer Hybrid,CC BY-NC-ND,https://springer.com/41996
1112,10833,Journal of Educational Change,1573-1812,Springer,Education,Springer Hybrid,CC BY-NC-ND,https://springer.com/10833
1113,10659,Journal of Elasticity,1573-2681,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/10659
1114,42835,Journal of Electrical Engineering & Technology,2093-7423,Springer,Engineering,Springer Hybrid,CC BY,https://springer.com/42835
1115,10832,Journal of Electroceramics,1573-8663,Springer,Materials Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/10832
1116,11664,Journal of Electronic Materials,1543-186X,Springer,Materials Science,Springer Hybrid,CC BY,https://springer.com/11664
1117,10836,Journal of Electronic Testing,1573-0727,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/10836
1118,41808,Journal of Elliptic and Parabolic Equations,2296-9039,Birkhäuser,Mathematics,Springer Hybrid,CC BY,https://springer.com/41808
1119,40618,Journal of Endocrinological Investigation,1720-8386,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/40618
1120,10665,Journal of Engineering Mathematics,1573-2703,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10665
1121,40201,Journal of Environmental Health Science and Engineering,2052-336X,Springer,Environment,Springer Hybrid,CC BY,https://springer.com/40201
1122,13412,Journal of Environmental Studies and Sciences,2190-6491,Springer,Environment,Springer Hybrid,CC BY,https://springer.com/13412
1123,10164,Journal of Ethology,1439-5444,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/10164
1124,28,Journal of Evolution Equations,1424-3202,Birkhäuser,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/28
1125,191,Journal of Evolutionary Economics,1432-1386,Springer,Economics,Springer Hybrid,CC BY-NC-ND,https://springer.com/191
1126,11292,Journal of Experimental Criminology,1572-8315,Springer,Criminology and Criminal Justice,Springer Hybrid,CC BY-NC-ND,https://springer.com/11292
1127,41370,Journal of Exposure Science & Environmental Epidemiology,1559-064X,Springer Nature,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/41370
1128,11668,Journal of Failure Analysis and Prevention,1864-1245,Springer,Materials Science,Springer Hybrid,CC BY,https://springer.com/11668
1129,10834,Journal of Family and Economic Issues,1573-3475,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10834
1130,10896,Journal of Family Violence,1573-2851,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/10896
1131,41264,Journal of Financial Services Marketing,1479-1846,Palgrave Macmillan,Finance,Springer Hybrid,CC BY-NC-ND,https://springer.com/41264
1132,10693,Journal of Financial Services Research,1573-0735,Springer,Finance,Springer Hybrid,CC BY-NC-ND,https://springer.com/10693
1133,11784,Journal of Fixed Point Theory and Applications,1661-7746,Birkhäuser,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/11784
1134,41981,Journal of Flow Chemistry,2063-0212,"Akadémiai Kiadó, co-published with Springer",Chemistry,Springer Hybrid,CC BY,https://springer.com/41981
1135,10895,Journal of Fluorescence,1573-4994,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/10895
1136,11694,Journal of Food Measurement and Characterization,2193-4134,Springer,Chemistry,Springer Hybrid,CC BY-NC-ND,https://springer.com/11694
1137,13197,Journal of Food Science and Technology,0975-8402,Springer,Chemistry,Springer Hybrid,CC BY,https://springer.com/13197
1138,44392,Journal of Forestry,1938-3746,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/44392
1139,11676,Journal of Forestry Research,1993-0607,"Northeast Forestry University, co-published with Springer",Life Sciences,Springer Hybrid,CC BY,https://springer.com/11676
1140,41686,Journal of Formative Design in Learning,2509-8039,Springer,Education,Springer Hybrid,CC BY,https://springer.com/41686
1141,41,Journal of Fourier Analysis and Applications,1531-5851,Birkhäuser,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/41
1142,10894,Journal of Fusion Energy,1572-9591,Springer,Physics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10894
1143,10899,Journal of Gambling Studies,1573-3602,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/10899
1144,535,Journal of Gastroenterology,1435-5922,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/535
1145,12029,Journal of Gastrointestinal Cancer,1941-6636,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/12029
1146,11606,Journal of General Internal Medicine,1525-1497,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/11606
1147,10327,Journal of General Plant Pathology,1610-739X,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/10327
1148,190,Journal of Geodesy,1432-1394,Springer,Earth Sciences,Springer Hybrid,CC BY,https://springer.com/190
1149,11442,Journal of Geographical Sciences,1861-9568,"Science Press, co-published with Springer",Geography,Springer Hybrid,CC BY,https://springer.com/11442
1150,10109,Journal of Geographical Systems,1435-5949,Springer,Economics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10109
1151,22,Journal of Geometry,1420-8997,Birkhäuser,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/22
1152,41651,Journal of Geovisualization and Spatial Analysis,2509-8829,Springer,Geography,Springer Hybrid,CC BY-NC-ND,https://springer.com/41651
1153,40497,Journal of Global Entrepreneurship Research,2251-7316,Springer,Business and Management,Springer Hybrid,CC BY,https://springer.com/40497
1154,10898,Journal of Global Optimization,1573-2916,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10898
1155,10723,Journal of Grid Computing,1572-9184,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/10723
1156,10902,Journal of Happiness Studies,1573-7780,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10902
1157,41635,Journal of Hardware and Systems Security,2509-3436,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/41635
1158,42843,Journal of Health Service Psychology,2662-2653,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/42843
1159,41666,Journal of Healthcare Informatics Research,2509-498X,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/41666
1160,12308,Journal of Hematopathology,1865-5785,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/12308
1161,10732,Journal of Heuristics,1572-9397,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10732
1162,40062,Journal of Homotopy and Related Structures,1512-2891,Springer,Mathematics,Springer Hybrid,CC BY,https://springer.com/40062
1163,10901,Journal of Housing and the Built Environment,1573-7772,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10901
1164,10038,Journal of Human Genetics,1435-232X,Springer Nature,Biomedicine,Springer Hybrid,CC BY,https://springer.com/10038
1165,41371,Journal of Human Hypertension,1476-5527,Springer Nature,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/41371
1166,41134,Journal of Human Rights and Social Work,2365-1792,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/41134
1167,42241,Journal of Hydrodynamics,1878-0342,Springer,Engineering,Springer Hybrid,CC BY,https://springer.com/42241
1168,41513,Journal of Iberian Geology,1886-7995,Springer,Earth Sciences,Springer Hybrid,CC BY,https://springer.com/41513
1169,10278,Journal of Imaging Informatics in Medicine,2948-2933,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/10278
1170,10903,Journal of Immigrant and Minority Health,1557-1920,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/10903
1171,10847,Journal of Inclusion Phenomena and Macrocyclic Chemistry,1573-1111,Springer,Chemistry,Springer Hybrid,CC BY-NC-ND,https://springer.com/10847
1172,40961,Journal of Indian Council of Philosophical Research,2363-9962,Springer,Philosophy,Springer Hybrid,CC BY,https://springer.com/40961
1173,10781,Journal of Indian Philosophy,1573-0395,Springer,Philosophy,Springer Hybrid,CC BY-NC-ND,https://springer.com/10781
1174,40812,Journal of Industrial and Business Economics,1972-4977,Springer,Economics,Springer Hybrid,CC BY,https://springer.com/40812
1175,10842,"Journal of Industry, Competition and Trade",1573-7012,Springer,Economics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10842
1176,10762,"Journal of Infrared, Millimeter, and Terahertz Waves",1866-6906,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/10762
1177,10904,Journal of Inorganic and Organometallic Polymers and Materials,1574-1451,Springer,Chemistry,Springer Hybrid,CC BY-NC-ND,https://springer.com/10904
1178,10905,Journal of Insect Behavior,1572-8889,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10905
1179,10841,Journal of Insect Conservation,1572-9753,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10841
1180,10844,Journal of Intelligent Information Systems,1573-7675,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/10844
1181,10845,Journal of Intelligent Manufacturing,1572-8145,Springer,Business and Management,Springer Hybrid,CC BY-NC-ND,https://springer.com/10845
1182,42214,journal of international business policy,2522-0705,Palgrave Macmillan,Business and Management,Springer Hybrid,CC BY,https://springer.com/42214
1183,41267,Journal of International Business Studies,1478-6990,Palgrave Macmillan,Business and Management,Springer Hybrid,CC BY,https://springer.com/41267
1184,10843,Journal of International Entrepreneurship,1573-7349,Springer,Business and Management,Springer Hybrid,CC BY-NC-ND,https://springer.com/10843
1185,12134,Journal of International Migration and Integration,1874-6365,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/12134
1186,10840,Journal of Interventional Cardiac Electrophysiology,1572-8595,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/10840
1187,42243,Journal of Iron and Steel Research International,2210-3988,Springer,Engineering,Springer Hybrid,CC BY,https://springer.com/42243
1188,12122,Journal of Labor Research,1936-4768,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/12122
1189,10849,"Journal of Logic, Language and Information",1572-9583,Springer,Philosophy,Springer Hybrid,CC BY-NC-ND,https://springer.com/10849
1190,10909,Journal of Low Temperature Physics,1573-7357,Springer,Physics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10909
1191,10914,Journal of Mammalian Evolution,1573-7055,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10914
1192,10997,Journal of Management and Governance,1572-963X,Springer,Business and Management,Springer Hybrid,CC BY-NC-ND,https://springer.com/10997
1193,187,Journal of Management Control,2191-477X,Springer,Business and Management,Springer Hybrid,CC BY-NC-ND,https://springer.com/187
1194,11804,Journal of Marine Science and Application,1993-5048,"Harbin Engineering University, co-published with Springer",Engineering,Springer Hybrid,CC BY,https://springer.com/11804
1195,773,Journal of Marine Science and Technology,1437-8213,Springer,Engineering,Springer Hybrid,CC BY,https://springer.com/773
1196,11457,Journal of Maritime Archaeology,1557-2293,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/11457
1197,41270,Journal of Marketing Analytics,2050-3326,Palgrave Macmillan,Business and Management,Springer Hybrid,CC BY-NC-ND,https://springer.com/41270
1198,10163,Journal of Material Cycles and Waste Management,1611-8227,Springer,Engineering,Springer Hybrid,CC BY,https://springer.com/10163
1199,11665,Journal of Materials Engineering and Performance,1544-1024,Springer,Materials Science,Springer Hybrid,CC BY,https://springer.com/11665
1200,43578,Journal of Materials Research,2044-5326,Springer,Materials Science,Springer Hybrid,CC BY,https://springer.com/43578
1201,10853,Journal of Materials Science,1573-4803,Springer,Materials Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/10853
1202,10854,Journal of Materials Science: Materials in Electronics,1573-482X,Springer,Materials Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/10854
1203,285,Journal of Mathematical Biology,1432-1416,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/285
1204,10910,Journal of Mathematical Chemistry,1572-8897,Springer,Chemistry,Springer Hybrid,CC BY-NC-ND,https://springer.com/10910
1205,21,Journal of Mathematical Fluid Mechanics,1422-6952,Birkhäuser,Physics,Springer Hybrid,CC BY-NC-ND,https://springer.com/21
1206,10851,Journal of Mathematical Imaging and Vision,1573-7683,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/10851
1207,10958,Journal of Mathematical Sciences,1573-8795,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10958
1208,10857,Journal of Mathematics Teacher Education,1573-1820,Springer,Education,Springer Hybrid,CC BY-NC-ND,https://springer.com/10857
1209,12663,Journal of Maxillofacial and Oral Surgery,0974-942X,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/12663
1210,40846,Journal of Medical and Biological Engineering,2199-4757,Springer,Biomedicine,Springer Hybrid,CC BY,https://springer.com/40846
1211,10912,Journal of Medical Humanities,1573-3645,Springer,Cultural and Media Studies,Springer Hybrid,CC BY-NC-ND,https://springer.com/10912
1212,10916,Journal of Medical Systems,1573-689X,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/10916
1213,13181,Journal of Medical Toxicology,1937-6995,Springer,Biomedicine,Springer Hybrid,CC BY,https://springer.com/13181
1214,10396,Journal of Medical Ultrasonics,1613-2254,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/10396
1215,41965,Journal of Membrane Computing,2523-8914,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/41965
1216,13351,journal of meteorological research,2198-0934,"The Chinese Meteorological Society, co-published with Springer",Earth Sciences,Springer Hybrid,CC BY,https://springer.com/13351
1217,12213,Journal of Micro and Bio Robotics,2194-6426,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/12213
1218,239,Journal of Molecular Evolution,1432-1432,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/239
1219,10735,Journal of Molecular Histology,1567-2387,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10735
1220,109,Journal of Molecular Medicine,1432-1440,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/109
1221,894,Journal of Molecular Modeling,0948-5023,Springer,Chemistry,Springer Hybrid,CC BY-NC-ND,https://springer.com/894
1222,12031,Journal of Molecular Neuroscience,1559-1166,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/12031
1223,11629,Journal of Mountain Science,1993-0321,"Science Press, co-published with Springer",Earth Sciences,Springer Hybrid,CC BY,https://springer.com/11629
1224,10974,Journal of Muscle Research and Cell Motility,1573-2657,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10974
1225,11051,Journal of Nanoparticle Research,1572-896X,Springer,Materials Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/11051
1226,40097,Journal of Nanostructure in Chemistry,2193-8865,Springer,Chemistry,Springer Hybrid,CC BY,https://springer.com/40097
1227,11418,Journal of Natural Medicines,1861-0293,Springer,Biomedicine,Springer Hybrid,CC BY,https://springer.com/11418
1228,40620,Journal of Nephrology,1724-6059,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/40620
1229,10922,Journal of Network and Systems Management,1573-7705,Springer,Computer Science,Springer Hybrid,CC BY-NC-ND,https://springer.com/10922
1230,702,Journal of Neural Transmission,1435-1463,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/702
1231,11481,Journal of NeuroImmune Pharmacology,1557-1904,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/11481
1232,415,Journal of Neurology,1432-1459,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/415
1233,11060,Journal of Neuro-Oncology,1573-7373,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/11060
1234,13365,Journal of Neurovirology,1538-2443,Springer,Biomedicine,Springer Hybrid,CC BY,https://springer.com/13365
1235,10921,Journal of Nondestructive Evaluation,1573-4862,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/10921
1236,332,Journal of Nonlinear Science,1432-1467,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/332
1237,10919,Journal of Nonverbal Behavior,1573-3653,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/10919
1238,10926,Journal of Occupational Rehabilitation,1573-3688,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/10926
1239,40722,Journal of Ocean Engineering and Marine Energy,2198-6452,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/40722
1240,11802,Journal of Ocean University of China,1993-5021,"Science Press, co-published with Springer",Earth Sciences,Springer Hybrid,CC BY,https://springer.com/11802
1241,10872,Journal of Oceanography,1573-868X,Springer,Earth Sciences,Springer Hybrid,CC BY,https://springer.com/10872
1242,343,Journal of Oceanology and Limnology,2523-3521,"Science Press, co-published with Springer",Earth Sciences,Springer Hybrid,CC BY,https://springer.com/343
1243,12596,Journal of Optics,0974-6900,Springer,Physics,Springer Hybrid,CC BY,https://springer.com/12596
1244,10957,Journal of Optimization Theory and Applications,1573-2878,Springer,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/10957
1245,41469,Journal of Organization Design,2245-408x,Springer,Business and Management,Springer Hybrid,CC BY,https://springer.com/41469
1246,10336,Journal of Ornithology,2193-7206,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/10336
1247,56,Journal of Orofacial Orthopedics / Fortschritte der Kieferorthopädie,1615-6714,SpringerMedizin,Dentistry,Springer Hybrid,CC BY,https://springer.com/56
1248,42322,Journal of Outdoor and Environmental Education,2522-879X,Springer,Education,Springer Hybrid,CC BY,https://springer.com/42322
1249,41783,Journal of Packaging Technology and Research,2520-1042,Springer,Engineering,Springer Hybrid,CC BY,https://springer.com/41783
1250,10933,Journal of Paleolimnology,1573-0417,Springer,Earth Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10933
1251,41982,Journal of Paleolithic Archaeology,2520-8217,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/41982
1252,12639,Journal of Parasitic Diseases,0975-0703,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/12639
1253,42804,Journal of Pediatric Endoscopic Surgery,2524-7883,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/42804
1254,42102,Journal of Peridynamics and Nonlocal Modeling,2522-8978,Springer,Engineering,Springer Hybrid,CC BY-NC-ND,https://springer.com/42102
1255,41372,Journal of Perinatology,1476-5543,Springer Nature,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/41372
1256,10340,Journal of Pest Science,1612-4766,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/10340
1257,12247,Journal of Pharmaceutical Innovation,1939-8042,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/12247
1258,40005,Journal of Pharmaceutical Investigation,2093-6214,Springer,Biomedicine,Springer Hybrid,CC BY,https://springer.com/40005
1259,10928,Journal of Pharmacokinetics and Pharmacodynamics,1573-8744,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/10928
1260,11669,Journal of Phase Equilibria and Diffusion,1863-7345,Springer,Physics,Springer Hybrid,CC BY,https://springer.com/11669
1261,10992,Journal of Philosophical Logic,1573-0433,Springer,Philosophy,Springer Hybrid,CC BY-NC-ND,https://springer.com/10992
1262,13105,Journal of Physiology and Biochemistry,1877-8755,Springer,Biomedicine,Springer Hybrid,CC BY,https://springer.com/13105
1263,13562,Journal of Plant Biochemistry and Biotechnology,0974-1275,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/13562
1264,12374,Journal of Plant Biology,1867-0725,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/12374
1265,41348,Journal of Plant Diseases and Protection,1861-3837,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/41348
1266,344,Journal of Plant Growth Regulation,1435-8107,Springer,Life Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/344
1267,42161,Journal of Plant Pathology,2239-7264,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/42161
1268,10265,Journal of Plant Research,1618-0860,Springer,Life Sciences,Springer Hybrid,CC BY,https://springer.com/10265
1269,11896,Journal of Police and Criminal Psychology,1936-6469,Springer,Psychology,Springer Hybrid,CC BY,https://springer.com/11896
1270,42972,Journal of Policy Practice and Research,2662-1517,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/42972
1271,10965,Journal of Polymer Research,1572-8935,Springer,Chemistry,Springer Hybrid,CC BY,https://springer.com/10965
1272,10924,Journal of Polymers and the Environment,1572-8919,Springer,Chemistry,Springer Hybrid,CC BY-NC-ND,https://springer.com/10924
1273,12062,Journal of Population Ageing,1874-7876,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/12062
1274,148,Journal of Population Economics,1432-1475,Springer,Economics,Springer Hybrid,CC BY-NC-ND,https://springer.com/148
1275,12546,Journal of Population Research,1835-9469,Springer,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/12546
1276,10934,Journal of Porous Materials,1573-4854,Springer,Chemistry,Springer Hybrid,CC BY-NC-ND,https://springer.com/10934
1277,43236,Journal of Power Electronics,2093-4718,Springer,Engineering,Springer Hybrid,CC BY,https://springer.com/43236
1278,10935,Journal of Prevention,2731-5541,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/10935
1279,11123,Journal of Productivity Analysis,1573-0441,Springer,Economics,Springer Hybrid,CC BY-NC-ND,https://springer.com/11123
1280,42485,Journal of Proteins and Proteomics,2524-4663,Springer,Biomedicine,Springer Hybrid,CC BY-NC-ND,https://springer.com/42485
1281,11868,Journal of Pseudo-Differential Operators and Applications,1662-999X,Birkhäuser,Mathematics,Springer Hybrid,CC BY-NC-ND,https://springer.com/11868
1282,10936,Journal of Psycholinguistic Research,1573-6555,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/10936
1283,10862,Journal of Psychopathology and Behavioral Assessment,1573-3505,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/10862
1284,40737,Journal of Psychosocial Rehabilitation and Mental Health,2198-963X,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/40737
1285,10389,Journal of Public Health,1613-2238,Springer,Medicine & Public Health,Springer Hybrid,CC BY-NC-ND,https://springer.com/10389
1286,41271,Journal of Public Health Policy,1745-655X,Palgrave Macmillan,Social Sciences,Springer Hybrid,CC BY-NC-ND,https://springer.com/41271
1287,10940,Journal of Quantitative Criminology,1573-7799,Springer,Criminology and Criminal Justice,Springer Hybrid,CC BY-NC-ND,https://springer.com/10940
1288,40953,Journal of Quantitative Economics,2364-1045,Springer,Economics,Springer Hybrid,CC BY,https://springer.com/40953
1289,40615,Journal of Racial and Ethnic Health Disparities,2196-8837,Springer,Medicine & Public Health,Springer Hybrid,CC BY,https://springer.com/40615
1290,10967,Journal of Radioanalytical and Nuclear Chemistry,1588-2780,"Akadémiai Kiadó, co-published with Springer",Chemistry,Springer Hybrid,CC BY,https://springer.com/10967
1291,10942,Journal of Rational-Emotive & Cognitive-Behavior Therapy,1573-6563,Springer,Psychology,Springer Hybrid,CC BY-NC-ND,https://springer.com/10942
