Order (# NIH papers 01-07/2025),Journal,ISSN1,ISSN2,ISSN3,ISSN4,Publisher,Publications acknowledging NIH funding (01-07/2025),Journal OA status,Publisher type,APC 2025 (USD),APC category,Total APCs (based on 01-07/2025),APCs covered by $2k cap,% covered by $2k cap,APCs not covered by $2k cap,APCs covered by $3k cap,% covered by $3k cap,APCs not covered by $3k cap,APCs covered by $6 cap,% covered by $6 cap,APCs not covered by $6 cap
1081,The Pediatric Infectious Disease Journal,0891-3668,1532-0987,,,Wolters Kluwer,12,hybrid,for profit,4700,"$4,001-$5,000",56400,24000,0.425531915,32400,36000,0.638297872,20400,56400,1,0
1082,Epigenomics,1750-1911,1750-192X,,,Taylor & Francis,12,hybrid,for profit,4000,"$3,001-$4,000",48000,24000,0.5,24000,36000,0.75,12000,48000,1,0
1083,Gynecologic Oncology Reports,2211-338X,2352-5789,,,Elsevier,12,gold,for profit,930,"$1-$1,000",11160,11160,1,0,11160,1,0,11160,1,0
1084,Human Vaccines & Immunotherapeutics,2164-5515,2164-554X,,,Taylor & Francis,12,gold,for profit,3650,"$3,001-$4,000",43800,24000,0.547945205,19800,36000,0.821917808,7800,43800,1,0
1085,Journal of Psychoactive Drugs,0279-1072,2159-9777,,,Taylor & Francis,12,hybrid,for profit,4720,"$4,001-$5,000",56640,24000,0.423728814,32640,36000,0.63559322,20640,56640,1,0
1086,Medical Decision Making,0272-989X,1552-681X,,,SAGE Publications,12,hybrid,for profit,4400,"$4,001-$5,000",52800,24000,0.454545455,28800,36000,0.681818182,16800,52800,1,0
1087,Neuropsychology,0894-4105,1931-1559,,,American Psychological Association (APA),12,hybrid,not for profit,3000,"$2,001-$3,000",36000,24000,0.666666667,12000,36000,1,0,36000,1,0
1088,The ISME Journal: Multidisciplinary Journal of Microbial Ecology,1751-7362,1751-7370,,,Oxford University Press (OUP),12,gold,not for profit,4299.75,"$4,001-$5,000",51597,24000,0.465143322,27597,36000,0.697714983,15597,51597,1,0
1089,Clinical Biomechanics,0268-0033,1879-1271,,,Elsevier,12,hybrid,for profit,2980,"$2,001-$3,000",35760,24000,0.67114094,11760,35760,1,0,35760,1,0
1090,Paediatric and Perinatal Epidemiology,0269-5022,1365-3016,,,Wiley,12,hybrid,for profit,4770,"$4,001-$5,000",57240,24000,0.419287212,33240,36000,0.628930818,21240,57240,1,0
1091,Stem Cells,1066-5099,1549-4918,,,Oxford University Press (OUP),12,hybrid,not for profit,4611,"$4,001-$5,000",55332,24000,0.433745391,31332,36000,0.650618087,19332,55332,1,0
1092,European Journal of Neurology,1351-5101,1468-1331,,,Wiley,12,gold,for profit,3600,"$3,001-$4,000",43200,24000,0.555555556,19200,36000,0.833333333,7200,43200,1,0
1093,Trends in Endocrinology and Metabolism,1043-2760,1879-3061,,,Elsevier,12,hybrid,for profit,7030,"$7,001-$8,000",84360,24000,0.284495021,60360,36000,0.426742532,48360,72000,0.853485064,12360
1094,Otology & Neurotology,1531-7129,1537-4505,,,Wolters Kluwer,12,hybrid,for profit,4900,"$4,001-$5,000",58800,24000,0.408163265,34800,36000,0.612244898,22800,58800,1,0
1095,Gut,0017-5749,1468-3288,,,BMJ,12,hybrid,for profit,5537,"$5,001-$6,000",66444,24000,0.361206429,42444,36000,0.541809644,30444,66444,1,0
1096,Neurobiology of Learning and Memory,1074-7427,1095-9564,,,Elsevier,12,hybrid,for profit,4000,"$3,001-$4,000",48000,24000,0.5,24000,36000,0.75,12000,48000,1,0
1097,Molecular Medicine,1076-1551,1528-3658,,,Springer Nature,12,gold,for profit,3190,"$3,001-$4,000",38280,24000,0.626959248,14280,36000,0.940438871,2280,38280,1,0
1098,Therapeutic Advances in Infectious Disease,2049-9361,2049-937X,,,SAGE Publications,12,gold,for profit,2800,"$2,001-$3,000",33600,24000,0.714285714,9600,33600,1,0,33600,1,0
1099,Matrix Biology,0945-053X,1569-1802,,,Elsevier,12,hybrid,for profit,4280,"$4,001-$5,000",51360,24000,0.46728972,27360,36000,0.700934579,15360,51360,1,0
1100,AJOG Global Reports,2666-5778,,,,Elsevier,12,gold,for profit,1980,"$1,001-$2,000",23760,23760,1,0,23760,1,0,23760,1,0
1101,IEEE Transactions on Ultrasonics Ferroelectrics and Frequency Control,0885-3010,1525-8955,,,Institute of Electrical and Electronics Engineers (IEEE),12,hybrid,not for profit,2645,"$2,001-$3,000",31740,24000,0.756143667,7740,31740,1,0,31740,1,0
1102,Pharmacology Biochemistry and Behavior,0091-3057,1873-5177,,,Elsevier,12,hybrid,for profit,3650,"$3,001-$4,000",43800,24000,0.547945205,19800,36000,0.821917808,7800,43800,1,0
1103,Research in Developmental Disabilities,0891-4222,1873-3379,,,Elsevier,12,hybrid,for profit,4040,"$4,001-$5,000",48480,24000,0.495049505,24480,36000,0.742574257,12480,48480,1,0
1104,Frontiers in Molecular Neuroscience,1662-5099,,,,Frontiers,12,gold,for profit,3906,"$3,001-$4,000",46872,24000,0.51203277,22872,36000,0.768049155,10872,46872,1,0
1105,Virology,0042-6822,1096-0341,,,Elsevier,12,hybrid,for profit,3160,"$3,001-$4,000",37920,24000,0.632911392,13920,36000,0.949367089,1920,37920,1,0
1106,Multiple Sclerosis Journal,1352-4585,1477-0970,,,SAGE Publications,12,hybrid,for profit,4400,"$4,001-$5,000",52800,24000,0.454545455,28800,36000,0.681818182,16800,52800,1,0
1107,Surgical Oncology Insight,2950-2470,,,,Elsevier,12,gold,for profit,2300,"$2,001-$3,000",27600,24000,0.869565217,3600,27600,1,0,27600,1,0
1108,European Journal of Immunology,0014-2980,1521-4141,,,Wiley,12,hybrid,for profit,4550,"$4,001-$5,000",54600,24000,0.43956044,30600,36000,0.659340659,18600,54600,1,0
1109,Epigenetics & Chromatin,1756-8935,,,,Springer Nature,12,gold,for profit,3190,"$3,001-$4,000",38280,24000,0.626959248,14280,36000,0.940438871,2280,38280,1,0
1110,International Journal of Geriatric Psychiatry,0885-6230,1099-1166,,,Wiley,12,hybrid,for profit,4600,"$4,001-$5,000",55200,24000,0.434782609,31200,36000,0.652173913,19200,55200,1,0
1111,Neuroimage Reports,2666-9560,,,,Elsevier,12,gold,for profit,2160,"$2,001-$3,000",25920,24000,0.925925926,1920,25920,1,0,25920,1,0
1112,Andrology,2047-2919,2047-2927,,,Wiley,12,hybrid,for profit,3090,"$3,001-$4,000",37080,24000,0.647249191,13080,36000,0.970873786,1080,37080,1,0
1113,NeuroToxicology,0161-813X,1872-9711,,,Elsevier,12,hybrid,for profit,4030,"$4,001-$5,000",48360,24000,0.496277916,24360,36000,0.744416873,12360,48360,1,0
1114,The Ocular Surface,1542-0124,1937-5913,,,Elsevier,12,hybrid,for profit,5330,"$5,001-$6,000",63960,24000,0.375234522,39960,36000,0.562851782,27960,63960,1,0
1115,Population Research and Policy Review,0167-5923,1573-7829,,,Springer Nature,12,hybrid,for profit,3390,"$3,001-$4,000",40680,24000,0.589970501,16680,36000,0.884955752,4680,40680,1,0
1116,Allergy,0001-5148,1398-9995,0105-4538,,Wiley,12,hybrid,for profit,5300,"$5,001-$6,000",63600,24000,0.377358491,39600,36000,0.566037736,27600,63600,1,0
1117,Medicina,1010-660X,1648-9144,,,MDPI,12,gold,for profit,2750,"$2,001-$3,000",33000,24000,0.727272727,9000,33000,1,0,33000,1,0
1118,American Journal of Orthopsychiatry,0002-9432,1939-0025,,,American Psychological Association (APA),12,hybrid,not for profit,3000,"$2,001-$3,000",36000,24000,0.666666667,12000,36000,1,0,36000,1,0
1119,Palliative & Supportive Care,1478-9515,1478-9523,,,Cambridge University Press (CUP),12,gold,not for profit,3550,"$3,001-$4,000",42600,24000,0.563380282,18600,36000,0.845070423,6600,42600,1,0
1120,Journal of Developmental and Behavioral Pediatrics,0196-206X,1536-7312,,,Wolters Kluwer,12,hybrid,for profit,4100,"$4,001-$5,000",49200,24000,0.487804878,25200,36000,0.731707317,13200,49200,1,0
1121,Metabolomics,1573-3882,1573-3890,,,Springer Nature,12,hybrid,for profit,3890,"$3,001-$4,000",46680,24000,0.514138817,22680,36000,0.771208226,10680,46680,1,0
1122,Suicide and Life-Threatening Behavior,0363-0234,1943-278X,,,Wiley,12,hybrid,for profit,3700,"$3,001-$4,000",44400,24000,0.540540541,20400,36000,0.810810811,8400,44400,1,0
1123,NeuroImmune Pharmacology and Therapeutics,2750-6665,,,,De Gruyter,12,gold,for profit,1747,"$1,001-$2,000",20964,20964,1,0,20964,1,0,20964,1,0
1125,MDM Policy & Practice,2381-4683,,,,SAGE Publications,12,gold,for profit,2500,"$2,001-$3,000",30000,24000,0.8,6000,30000,1,0,30000,1,0
1126,Bioorganic & Medicinal Chemistry Letters,0960-894X,1464-3405,,,Elsevier,12,hybrid,for profit,3880,"$3,001-$4,000",46560,24000,0.515463918,22560,36000,0.773195876,10560,46560,1,0
1127,Trends in Cognitive Sciences,1364-6613,1879-307X,,,Elsevier,12,hybrid,for profit,7030,"$7,001-$8,000",84360,24000,0.284495021,60360,36000,0.426742532,48360,72000,0.853485064,12360
1128,Public Health,0033-3506,1476-5616,,,Elsevier,12,hybrid,for profit,3130,"$3,001-$4,000",37560,24000,0.638977636,13560,36000,0.958466454,1560,37560,1,0
1129,Implementation Science,1748-5908,,,,Springer Nature,12,gold,for profit,3390,"$3,001-$4,000",40680,24000,0.589970501,16680,36000,0.884955752,4680,40680,1,0
1130,Drugs & Aging,1170-229X,1179-1969,,,Springer Nature,12,hybrid,for profit,4990,"$4,001-$5,000",59880,24000,0.400801603,35880,36000,0.601202405,23880,59880,1,0
1131,International Journal of Qualitative Methods,1609-4069,,,,SAGE Publications,12,gold,for profit,2800,"$2,001-$3,000",33600,24000,0.714285714,9600,33600,1,0,33600,1,0
1132,American Journal Of Reproductive Immunology,1046-7408,1600-0897,,,Wiley,12,hybrid,for profit,4460,"$4,001-$5,000",53520,24000,0.448430493,29520,36000,0.67264574,17520,53520,1,0
1133,Journal of Public Health Dentistry,0022-4006,1752-7325,,,Wiley,12,hybrid,for profit,3570,"$3,001-$4,000",42840,24000,0.56022409,18840,36000,0.840336134,6840,42840,1,0
1134,Antibiotics,2079-6382,,,,MDPI,12,gold,for profit,3625,"$3,001-$4,000",43500,24000,0.551724138,19500,36000,0.827586207,7500,43500,1,0
1135,Journal of Psychosocial Oncology,0734-7332,1540-7586,,,Taylor & Francis,12,hybrid,for profit,3650,"$3,001-$4,000",43800,24000,0.547945205,19800,36000,0.821917808,7800,43800,1,0
1136,Pain Medicine,1526-2375,1526-4637,,,Oxford University Press (OUP),12,hybrid,not for profit,5036,"$5,001-$6,000",60432,24000,0.397140588,36432,36000,0.595710882,24432,60432,1,0
1137,Psychological Methods,1082-989X,1939-1463,,,American Psychological Association (APA),12,hybrid,not for profit,3000,"$2,001-$3,000",36000,24000,0.666666667,12000,36000,1,0,36000,1,0
1138,Women's Health Reports,2688-4844,,,,Mary Ann Liebert,12,gold,for profit,2500,"$2,001-$3,000",30000,24000,0.8,6000,30000,1,0,30000,1,0
1139,Drug Delivery and Translational Research,2190-393X,2190-3948,,,Springer Nature,12,hybrid,for profit,4690,"$4,001-$5,000",56280,24000,0.426439232,32280,36000,0.639658849,20280,56280,1,0
1140,Pilot and Feasibility Studies,2055-5784,,,,Springer Nature,12,gold,for profit,2490,"$2,001-$3,000",29880,24000,0.803212851,5880,29880,1,0,29880,1,0
1141,Statistics in Biosciences,1867-1764,1867-1772,,,Springer Nature,12,hybrid,for profit,3290,"$3,001-$4,000",39480,24000,0.607902736,15480,36000,0.911854103,3480,39480,1,0
1142,Journal of Gastrointestinal Cancer,1941-6628,1941-6636,,,Springer Nature,12,hybrid,for profit,4190,"$4,001-$5,000",50280,24000,0.477326969,26280,36000,0.715990453,14280,50280,1,0
1143,Transplantation,0041-1337,1534-6080,,,Wolters Kluwer,12,hybrid,for profit,4900,"$4,001-$5,000",58800,24000,0.408163265,34800,36000,0.612244898,22800,58800,1,0
1144,Journal of Marriage and Family,0022-2445,1741-3737,,,Wiley,12,hybrid,for profit,4050,"$4,001-$5,000",48600,24000,0.49382716,24600,36000,0.740740741,12600,48600,1,0
1145,Journal of Medical Entomology,0022-2585,1938-2928,,,Oxford University Press (OUP),12,hybrid,not for profit,4328,"$4,001-$5,000",51936,24000,0.462107209,27936,36000,0.693160813,15936,51936,1,0
1146,LGBT Health,2325-8292,2325-8306,,,Mary Ann Liebert,12,hybrid,for profit,3600,"$3,001-$4,000",43200,24000,0.555555556,19200,36000,0.833333333,7200,43200,1,0
1147,Proteomics,1615-9853,1615-9861,,,Wiley,12,hybrid,for profit,4650,"$4,001-$5,000",55800,24000,0.430107527,31800,36000,0.64516129,19800,55800,1,0
1148,Experimental Hematology,0301-472X,1873-2399,,,Elsevier,12,hybrid,for profit,3250,"$3,001-$4,000",39000,24000,0.615384615,15000,36000,0.923076923,3000,39000,1,0
1149,Journal of Hazardous Materials,0304-3894,1873-3336,,,Elsevier,12,hybrid,for profit,4830,"$4,001-$5,000",57960,24000,0.414078675,33960,36000,0.621118012,21960,57960,1,0
1150,Progress in Cardiovascular Diseases,0033-0620,1873-1740,,,Elsevier,12,hybrid,for profit,4130,"$4,001-$5,000",49560,24000,0.484261501,25560,36000,0.726392252,13560,49560,1,0
1151,JACC Cardiovascular Interventions,1936-8798,1876-7605,,,Elsevier,12,hybrid,for profit,5000,"$4,001-$5,000",60000,24000,0.4,36000,36000,0.6,24000,60000,1,0
1152,OTO Open,2473-974X,,,,Wiley,11,gold,for profit,1430,"$1,001-$2,000",15730,15730,1,0,15730,1,0,15730,1,0
1153,JID Innovations,2667-0267,,,,Elsevier,11,gold,for profit,2000,"$1,001-$2,000",22000,22000,1,0,22000,1,0,22000,1,0
1154,European Journal of Psychotraumatology,2000-8198,2000-818X,2000-8066,,Taylor & Francis,11,gold,for profit,2195,"$2,001-$3,000",24145,22000,0.911161731,2145,24145,1,0,24145,1,0
1155,Behaviour Research and Therapy,0005-7967,1873-622X,,,Elsevier,11,hybrid,for profit,3580,"$3,001-$4,000",39380,22000,0.558659218,17380,33000,0.837988827,6380,39380,1,0
1156,Physical Chemistry Chemical Physics,1463-9076,1463-9084,,,Royal Society of Chemistry (RSC),11,hybrid,not for profit,4067,"$4,001-$5,000",44737,22000,0.49176297,22737,33000,0.737644455,11737,44737,1,0
1157,Current Opinion in HIV and AIDS,1746-630X,1746-6318,,,Wolters Kluwer,11,hybrid,for profit,4900,"$4,001-$5,000",53900,22000,0.408163265,31900,33000,0.612244898,20900,53900,1,0
1158,Journal of Family Violence,0885-7482,1573-2851,,,Springer Nature,11,hybrid,for profit,4090,"$4,001-$5,000",44990,22000,0.488997555,22990,33000,0.733496333,11990,44990,1,0
1159,Clinical and Translational Medicine,2001-1326,,,,Wiley,11,gold,for profit,3470,"$3,001-$4,000",38170,22000,0.576368876,16170,33000,0.864553314,5170,38170,1,0
1160,Current Opinion in Insect Science,2214-5745,2214-5753,,,Elsevier,11,hybrid,for profit,4610,"$4,001-$5,000",50710,22000,0.433839479,28710,33000,0.650759219,17710,50710,1,0
1161,International Journal of Pediatric Otorhinolaryngology,0165-5876,1872-8464,,,Elsevier,11,hybrid,for profit,3410,"$3,001-$4,000",37510,22000,0.586510264,15510,33000,0.879765396,4510,37510,1,0
1162,Alzheimer Disease & Associated Disorders,0893-0341,1546-4156,,,Wolters Kluwer,11,hybrid,for profit,4300,"$4,001-$5,000",47300,22000,0.465116279,25300,33000,0.697674419,14300,47300,1,0
1163,Heart Rhythm O2,2666-5018,,,,Elsevier,11,gold,for profit,2150,"$2,001-$3,000",23650,22000,0.930232558,1650,23650,1,0,23650,1,0
1164,Progress in Retinal and Eye Research,1350-9462,1873-1635,,,Elsevier,11,hybrid,for profit,6710,"$6,001-$7,000",73810,22000,0.298062593,51810,33000,0.44709389,40810,66000,0.894187779,7810
1165,Seminars in Nephrology,0270-9295,1558-4488,,,Elsevier,11,hybrid,for profit,3500,"$3,001-$4,000",38500,22000,0.571428571,16500,33000,0.857142857,5500,38500,1,0
1166,Molecular and Cellular Biology,0270-7306,1098-5549,,,Taylor & Francis,11,hybrid,for profit,3650,"$3,001-$4,000",40150,22000,0.547945205,18150,33000,0.821917808,7150,40150,1,0
1167,Mayo Clinic Proceedings Digital Health,2949-7612,,,,Elsevier,11,gold,for profit,2500,"$2,001-$3,000",27500,22000,0.8,5500,27500,1,0,27500,1,0
1168,European Journal of Pharmacology,0014-2999,1879-0712,,,Elsevier,11,hybrid,for profit,3230,"$3,001-$4,000",35530,22000,0.619195046,13530,33000,0.92879257,2530,35530,1,0
1169,Clinical Kidney Journal,2048-8505,2048-8513,,,Oxford University Press (OUP),11,gold,not for profit,3452.67,"$3,001-$4,000",37979.37,22000,0.579261847,15979.37,33000,0.86889277,4979.37,37979.37,1,0
1170,American Journal of Hospice and Palliative Medicine®,1049-9091,1938-2715,,,SAGE Publications,11,hybrid,for profit,4150,"$4,001-$5,000",45650,22000,0.481927711,23650,33000,0.722891566,12650,45650,1,0
1171,European Urology Oncology,2588-9311,,,,Elsevier,11,hybrid,for profit,3790,"$3,001-$4,000",41690,22000,0.527704485,19690,33000,0.791556728,8690,41690,1,0
1172,Journal of Biological Rhythms,0748-7304,1552-4531,,,SAGE Publications,11,hybrid,for profit,4400,"$4,001-$5,000",48400,22000,0.454545455,26400,33000,0.681818182,15400,48400,1,0
1173,Respiratory Care,0020-1324,1943-3654,,,Mary Ann Liebert,11,hybrid,for profit,3600,"$3,001-$4,000",39600,22000,0.555555556,17600,33000,0.833333333,6600,39600,1,0
1174,European Journal of Endocrinology,0804-4643,1479-683X,,,Oxford University Press (OUP),11,hybrid,not for profit,4443.66,"$4,001-$5,000",48880.26,22000,0.450079439,26880.26,33000,0.675119159,15880.26,48880.26,1,0
1175,Cognition,0010-0277,1873-7838,,,Elsevier,11,hybrid,for profit,3910,"$3,001-$4,000",43010,22000,0.511508951,21010,33000,0.767263427,10010,43010,1,0
1176,Injury Prevention,1353-8047,1475-5785,,,BMJ,11,hybrid,for profit,4953,"$4,001-$5,000",54483,22000,0.403795679,32483,33000,0.605693519,21483,54483,1,0
1177,Vision Research,0042-6989,1878-5646,,,Elsevier,11,hybrid,for profit,2940,"$2,001-$3,000",32340,22000,0.680272109,10340,32340,1,0,32340,1,0
1178,Learning & Memory,1072-0502,1549-5485,,,Cold Spring Harbor Laboratory,11,hybrid,not for profit,4140,"$4,001-$5,000",45540,22000,0.483091787,23540,33000,0.724637681,12540,45540,1,0
1179,Mathematics,2227-7390,,,,MDPI,11,gold,for profit,3250,"$3,001-$4,000",35750,22000,0.615384615,13750,33000,0.923076923,2750,35750,1,0
1180,Journal of Computational Chemistry,0192-8651,1096-987X,,,Wiley,11,hybrid,for profit,4520,"$4,001-$5,000",49720,22000,0.442477876,27720,33000,0.663716814,16720,49720,1,0
1181,Frontiers in Bioinformatics,2673-7647,,,,Frontiers,11,gold,for profit,3187.5,"$3,001-$4,000",35062.5,22000,0.62745098,13062.5,33000,0.941176471,2062.5,35062.5,1,0
1182,Early Intervention in Psychiatry,1751-7885,1751-7893,,,Wiley,11,hybrid,for profit,4060,"$4,001-$5,000",44660,22000,0.492610837,22660,33000,0.738916256,11660,44660,1,0
1183,Current Eye Research,0271-3683,1460-2202,,,Taylor & Francis,11,hybrid,for profit,4390,"$4,001-$5,000",48290,22000,0.455580866,26290,33000,0.683371298,15290,48290,1,0
1184,Journal of Intellectual Disability Research,0964-2633,1365-2788,,,Wiley,11,hybrid,for profit,3920,"$3,001-$4,000",43120,22000,0.510204082,21120,33000,0.765306122,10120,43120,1,0
1185,Current Directions in Psychological Science,0963-7214,1467-8721,,,SAGE Publications,11,hybrid,for profit,3900,"$3,001-$4,000",42900,22000,0.512820513,20900,33000,0.769230769,9900,42900,1,0
1186,Journal of Thoracic Oncology,1556-0864,1556-1380,,,Elsevier,11,hybrid,for profit,4100,"$4,001-$5,000",45100,22000,0.487804878,23100,33000,0.731707317,12100,45100,1,0
1187,Journal of Empirical Research on Human Research Ethics,1556-2646,1556-2654,,,SAGE Publications,11,hybrid,for profit,3650,"$3,001-$4,000",40150,22000,0.547945205,18150,33000,0.821917808,7150,40150,1,0
1188,BMC Nephrology,1471-2369,,,,Springer Nature,11,gold,for profit,3090,"$3,001-$4,000",33990,22000,0.647249191,11990,33000,0.970873786,990,33990,1,0
1189,Frontiers in Veterinary Science,2297-1769,,,,Frontiers,11,gold,for profit,3937.5,"$3,001-$4,000",43312.5,22000,0.507936508,21312.5,33000,0.761904762,10312.5,43312.5,1,0
1191,Chemistry of Materials,0897-4756,1520-5002,,,American Chemical Society (ACS),11,hybrid,not for profit,4500,"$4,001-$5,000",49500,22000,0.444444444,27500,33000,0.666666667,16500,49500,1,0
1192,Journal of Clinical Epidemiology,0895-4356,1878-5921,,,Elsevier,11,hybrid,for profit,4210,"$4,001-$5,000",46310,22000,0.475059382,24310,33000,0.712589074,13310,46310,1,0
1193,Computerized Medical Imaging and Graphics,0895-6111,1879-0771,,,Elsevier,11,hybrid,for profit,3180,"$3,001-$4,000",34980,22000,0.628930818,12980,33000,0.943396226,1980,34980,1,0
1194,Journal of the Pediatric Infectious Diseases Society,2048-7193,2048-7207,,,Oxford University Press (OUP),11,hybrid,not for profit,4752,"$4,001-$5,000",52272,22000,0.420875421,30272,33000,0.631313131,19272,52272,1,0
1195,Life Sciences,0024-3205,1879-0631,,,Elsevier,11,hybrid,for profit,3810,"$3,001-$4,000",41910,22000,0.524934383,19910,33000,0.787401575,8910,41910,1,0
1196,Journal of Dairy Science,0022-0302,1525-3198,,,American Dairy Science Association,11,gold,not for profit,3500,"$3,001-$4,000",38500,22000,0.571428571,16500,33000,0.857142857,5500,38500,1,0
1197,Human Gene Therapy,1043-0342,1557-7422,,,Mary Ann Liebert,11,hybrid,for profit,4000,"$3,001-$4,000",44000,22000,0.5,22000,33000,0.75,11000,44000,1,0
1198,Research on Aging,0164-0275,1552-7573,,,SAGE Publications,11,hybrid,for profit,4150,"$4,001-$5,000",45650,22000,0.481927711,23650,33000,0.722891566,12650,45650,1,0
1199,Leukemia & Lymphoma,1042-8194,1029-2403,,,Taylor & Francis,11,hybrid,for profit,4390,"$4,001-$5,000",48290,22000,0.455580866,26290,33000,0.683371298,15290,48290,1,0
1200,Transgender Health,2688-4887,2380-193X,,,Mary Ann Liebert,11,hybrid,for profit,3600,"$3,001-$4,000",39600,22000,0.555555556,17600,33000,0.833333333,6600,39600,1,0
1201,International Journal of Infectious Diseases,1201-9712,1878-3511,,,Elsevier,11,gold,for profit,2900,"$2,001-$3,000",31900,22000,0.689655172,9900,31900,1,0,31900,1,0
1202,BMC Oral Health,1472-6831,,,,Springer Nature,11,gold,for profit,3190,"$3,001-$4,000",35090,22000,0.626959248,13090,33000,0.940438871,2090,35090,1,0
1203,"The journal of nutrition, health & aging",1279-7707,1760-4788,,,Elsevier,11,gold,for profit,3450,"$3,001-$4,000",37950,22000,0.579710145,15950,33000,0.869565217,4950,37950,1,0
1204,Clinical Trials,1740-7745,1740-7753,,,SAGE Publications,11,hybrid,for profit,4150,"$4,001-$5,000",45650,22000,0.481927711,23650,33000,0.722891566,12650,45650,1,0
1205,Personality and Individual Differences,0191-8869,1873-3549,,,Elsevier,11,hybrid,for profit,4170,"$4,001-$5,000",45870,22000,0.479616307,23870,33000,0.71942446,12870,45870,1,0
1206,International Journal of Stroke,1747-4930,1747-4949,,,SAGE Publications,11,hybrid,for profit,4400,"$4,001-$5,000",48400,22000,0.454545455,26400,33000,0.681818182,15400,48400,1,0
1207,Pharmaceutical Research,0724-8741,1573-904X,,,Springer Nature,11,hybrid,for profit,4690,"$4,001-$5,000",51590,22000,0.426439232,29590,33000,0.639658849,18590,51590,1,0
1208,Health Science Reports,2398-8835,,,,Wiley,11,gold,for profit,3280,"$3,001-$4,000",36080,22000,0.609756098,14080,33000,0.914634146,3080,36080,1,0
1209,Mindfulness,1868-8527,1868-8535,,,Springer Nature,11,hybrid,for profit,3090,"$3,001-$4,000",33990,22000,0.647249191,11990,33000,0.970873786,990,33990,1,0
1210,Tropical Medicine and Infectious Disease,2414-6366,,,,MDPI,11,gold,for profit,3375,"$3,001-$4,000",37125,22000,0.592592593,15125,33000,0.888888889,4125,37125,1,0
1211,Alcohol and Alcoholism,0735-0414,1464-3502,,,Oxford University Press (OUP),11,hybrid,not for profit,4387.5,"$4,001-$5,000",48262.5,22000,0.455840456,26262.5,33000,0.683760684,15262.5,48262.5,1,0
1212,Environmental Science Processes & Impacts,2050-7887,2050-7895,,,Royal Society of Chemistry (RSC),11,hybrid,not for profit,4067,"$4,001-$5,000",44737,22000,0.49176297,22737,33000,0.737644455,11737,44737,1,0
1213,Journal of Adolescence,0140-1971,1095-9254,,,Wiley,11,hybrid,for profit,3150,"$3,001-$4,000",34650,22000,0.634920635,12650,33000,0.952380952,1650,34650,1,0
1214,Journal of Psychosomatic Research,0022-3999,1879-1360,,,Elsevier,11,hybrid,for profit,3760,"$3,001-$4,000",41360,22000,0.531914894,19360,33000,0.79787234,8360,41360,1,0
1215,Acta Pharmaceutica Sinica B,2211-3835,2211-3843,,,Elsevier,11,gold,for profit,2600,"$2,001-$3,000",28600,22000,0.769230769,6600,28600,1,0,28600,1,0
1216,Developmental Neuroscience,0378-5866,1421-9859,,,Karger Publishers,11,S2O,for profit,0,0,0,0,1,0,0,1,0,0,1,0
1217,The Journal of Physical Chemistry A,1089-5639,1520-5215,,,American Chemical Society (ACS),11,hybrid,not for profit,4500,"$4,001-$5,000",49500,22000,0.444444444,27500,33000,0.666666667,16500,49500,1,0
1218,Nutrition Research,0306-0632,1879-0739,0271-5317,,Elsevier,11,hybrid,for profit,4090,"$4,001-$5,000",44990,22000,0.488997555,22990,33000,0.733496333,11990,44990,1,0
1219,Cognitive Therapy and Research,0147-5916,1573-2819,,,Springer Nature,11,hybrid,for profit,4090,"$4,001-$5,000",44990,22000,0.488997555,22990,33000,0.733496333,11990,44990,1,0
1220,Advanced Materials Technologies,2365-709X,,,,Wiley,11,hybrid,for profit,4680,"$4,001-$5,000",51480,22000,0.427350427,29480,33000,0.641025641,18480,51480,1,0
1221,Journal of Gastrointestinal Surgery,1091-255X,1873-4626,,,Elsevier,11,hybrid,for profit,3950,"$3,001-$4,000",43450,22000,0.506329114,21450,33000,0.759493671,10450,43450,1,0
1222,Journal of American Association for Pediatric Ophthalmology and Strabismus,1091-8531,1528-3933,,,Elsevier,11,hybrid,for profit,3330,"$3,001-$4,000",36630,22000,0.600600601,14630,33000,0.900900901,3630,36630,1,0
1223,Human Genomics,1473-9542,1479-7364,,,Springer Nature,11,gold,for profit,3290,"$3,001-$4,000",36190,22000,0.607902736,14190,33000,0.911854103,3190,36190,1,0
1225,The Plant Cell,1040-4651,1532-298X,,,Oxford University Press (OUP),11,hybrid,not for profit,4934,"$4,001-$5,000",54274,22000,0.405350628,32274,33000,0.608025942,21274,54274,1,0
1226,The Journal of Steroid Biochemistry and Molecular Biology,0960-0760,1879-1220,,,Elsevier,11,hybrid,for profit,3980,"$3,001-$4,000",43780,22000,0.502512563,21780,33000,0.753768844,10780,43780,1,0
1227,Clinical Neurology and Neurosurgery,0303-8467,1872-6968,,,Elsevier,11,hybrid,for profit,3740,"$3,001-$4,000",41140,22000,0.534759358,19140,33000,0.802139037,8140,41140,1,0
1228,Human Genetics,0340-6717,1432-1203,,,Springer Nature,11,hybrid,for profit,5490,"$5,001-$6,000",60390,22000,0.364298725,38390,33000,0.546448087,27390,60390,1,0
1229,Tomography,2379-1381,2379-139X,,,MDPI,11,gold,for profit,3000,"$2,001-$3,000",33000,22000,0.666666667,11000,33000,1,0,33000,1,0
